sentence1Text,sentence2Text,mergedText
U.S. officials said Thursday Washington was certain that Syrian military intelligence operatives remain in Lebanon in defiance of international demands to withdraw all forces and agents.,U.S. officials have made no secret of their concern that Syrian intelligence officers may still be in Lebanon.,U.S. officials said Thursday Washington was certain that Syrian military intelligence operatives remain in Lebanon in defiance of international demands to withdraw all forces and agents.
"After leaving Alderson at 12:30 a.m. on March 3, 2005, Martha Steward declared the 5-month experience as ""life altering and life affirming.""",US lifestyle guru Martha Stewart is expected to leave jail on Friday after a five-month sentence for a stock scandal that reinvigorated her career rather than dooming it.,"After leaving Alderson jail at 12:30 a.m. on March 3, 2005, US lifestyle guru Martha Stewart declared the experience as ""life altering and life affirming"" after her 5-month sentence for a stock scandal that reinvigorated her career rather than dooming it."
"W. Mark Felt, the former FBI second-in-command who revealed himself as ``Deep Throat'' 30 years after he tipped off reporters to the Watergate scandal that toppled a president, has died.","W. Mark Felt, who remained anonymous for more than three decades as the source known as ``Deep Throat'' in the 1972 Watergate scandal that toppled Richard Nixon's presidency, has died.","W. Mark Felt, the former FBI second-in-command who remained anonymous for more than three decades after he tipped off reporters as the source known as ""Deep Throat'' in the 1972 Watergate scandal that toppled Richard Nixon's presidency, has died."
"Meanwhile, Lonnie Belt, said to be 40 or 41, has been charged with murder, kidnapping, assault, and evidence tampering after police say he painted walls to hide Durham's blood.","He's charged with murder, assault, kidnapping-adult, kidnapping-minor and tampering with physical evidence.","Meanwhile, Lonnie Belt, said to be 40 or 41, has been charged with murder, kidnapping-adult, kidnapping-minor, assault, and physical evidence tampering after police say he painted walls to hide Durham's blood."
"Schavan has always denied the allegations and, according to the BBC, intends to appeal.",The minister has denied the claims and said she will appeal.,"The minister Schavan has always denied the allegations and, according to the BBC, said she will appeal."
"The liftoff in southeastern India was the first launch of a rocket with two satellites aboard and notched up another achievement in New Delhi's ambitious space programme, which hopes to send a probe to the moon by 2007 or 2008.",This will be the first time two satellites will be launched in a single mission from India.,"The liftoff in southeastern India was the first launch mission of a rocket with two satellites aboard and notched up another achievement in New Delhi's ambitious space programme, which hopes to send a probe to the moon by 2007 or 2008."
"The scientists found that out of 3 million ""pull requests (when a developer writes code for someone else's project), developers more readily accepted code written by women (78.6%) than that written by men (74.6%), per the Guardian.","When a group of computer science students decided to study the way that gender bias plays out in software development communities, they assumed that coders would be prejudiced against code written by women.","When a group of computer science students decided to study the way that gender bias plays out in software development communities, they assumed that coders would be prejudiced against code written by women, but scientists instead found that out of 3 million ""pull requests (when a developer writes code for someone else's project), developers more readily accepted code written by women (78.6%) than by men (74.6%), per the Guardian."
Indonesia has scheduled a summit of world leaders for January 6.,Indonesia plans to host 23 nations in a summit to discuss the aftermath of the disaster.,Indonesia plans to host 23 nations in a summit of world leaders for January 6 to discuss the aftermath of the disaster.
Sixty-year-old Sharron Diane Crawford Smith is now accused of murdering two women at a Staunton ice cream store in 1967.,"A 60-year-old woman charged with killing two young women in a Staunton ice cream shop 41 years ago was released without bail, authorities said Friday, because she is dying from kidney and heart disease and living in a hospice facility.","Sharron Diane Crawford Smith, a 60-year-old woman now accused of murdering two young women in a Staunton ice cream shop in 1967, was released without bail, authorities said Friday, because she is dying from kidney and heart disease and living in a hospice facility."
"Counsel assisting the inquest, Jeremy Gormly SC, said as police moved in to end the 16-hour siege Ms Dawson was struck by six fragments of a police bullet or bullets, which ricocheted from hard surfaces into her body.","One fragment struck a major blood vessel and she quickly lost consciousness, he said.","Counsel assisting the inquest, Jeremy Gormly SC, said as police moved in to end the 16-hour siege, Ms. Dawson was struck by six fragments of a police bullet or bullets, which ricocheted from hard surfaces into her body where one struck a major blood vessel and she quickly lost consciousness."
The lawsuit was dismissed on June 6 for lack of evidence and Rossi did not appeal to the Supreme Court.,"Rossi ended his efforts to remove Gregoire, who was certified as governor-elect in June 2005.","The lawsuit was dismissed on June 6 for lack of evidence and Rossi did not appeal to the Supreme Court, ending his efforts to remove Gregoire, who was certified as governor-elect in June 2005."
"According to this L.A. Times story (which credits the team-owned flagship radio station), the Angels have made an eight-year offer to free agent first baseman Mark Teixeira.",The Los Angeles Angels made an eight-year offer to first baseman Mark Teixeira during winter meetings in Las Vegas.,"According to this L.A. Times story (which credits the team-owned flagship radio station), the Angels have made an eight-year offer to free agent first baseman Mark Teixeira during winter meetings in Las Vegas."
"Video of Brooklyn Mother of 13 Zurana Horton shot and killed in a gang shooting was revealed Thursday, according to the N.Y. Daily News.",A shocking video released for the first time Thursday captures the moment a Brooklyn mother of 12 was killed in a gang shootout as she picked her daughter up from school.,"A shocking video released for the first time Thursday, according to the N.Y. Daily News, captures the moment Zurana Horton, a Brooklyn mother of 12, was killed in a gang shootout as she picked her daughter up from school."
"On Sept. 15, 1998 District Attorney Hunter took the case before a grand jury.",Boulder District Attorney Alex Hunter brought the case before the grand jury.,"Boulder District Attorney Alex Hunter brought the case before the grand jury on Sept. 15, 1998."
"By April 2005 the cause of legalizing gay marriage was making remarkable headway in Europe and Canada, edging slowly ahead in sections of the U.S. and facing aggressive opposition in some other states.",Saskatchewan became the seventh Canadian province to allow gay marriage.,"By April 2005 the cause of legalizing gay marriage was making remarkable headway in Europe and Canada, where Saskatchewan became the seventh province to allow it, edging slowly ahead in sections of the U.S. and facing aggressive opposition in some other states."
"Bogoyavlensky and other experts believe gas emissions, possibly linked to climate change, are causing the holes to appear and suspect there are many more to be found, reports NBC News.","Now, with the help of satellite imagery, researchers have located four additional craters--and they believe there may be dozens more in the region.","Bogoyavlensky and other experts believe gas emissions, possibly linked to climate change, are causing four additional craters to appear, which researchers have located with the help of satellite imagery and suspect there are dozens more to be found in the region, reports NBC News."
The former FBI second-in-command who revealed himself as ``Deep Throat'' 30 years after he tipped off reporters to the Watergate scandal that toppled a president has died.,"W. Mark Felt, who remained anonymous for more than three decades as the source known as ``Deep Throat'' in the 1972 Watergate scandal that toppled Richard Nixon's presidency, has died.","W. Mark Felt, the former FBI second-in-command who remained anonymous for more than three decades after he tipped off reporters as the source known as ""Deep Throat'' in the 1972 Watergate scandal that toppled Richard Nixon's presidency, has died."
"Fred LaRue, a close aide to former Attorney General John Mitchell and the first person to plead guilty in the Watergate scandal, died of natural causes.",Deep Throat suspect found dead in hotel,"Fred LaRue, known as Deep Throat suspect, close aide to former Attorney General John Mitchell, and the first person to plead guilty in the Watergate scandal, was found dead of natural causes in hotel."
"L. Patrick Gray III, Acting Director of the FBI during the Watergate crisis expressed anger, shock, and betrayal at Felt's revelation.","L. Patrick Gray III, the acting director of the FBI at the time of the Watergate break-in, ended more than three decades of silence about his role in the scandal, saying in a television interview broadcast Sunday that he felt shock and betrayal by the disclosure that his former deputy, W. Mark Felt, was Deep Throat.","L. Patrick Gray III, the acting director of the FBI at the time of the Watergate break-in, ended more than three decades of silence about his role in the scandal, saying in a television interview broadcast Sunday that he felt anger, shock and betrayal by the disclosure that his former deputy, W. Mark Felt, was Deep Throat."
Curtis Collman III reportedly said there was no food and went back to sleep.,"Collman told his 8-year-old son that there was no food in their house in Crothersville, Indiana, and went back to sleep.","Curtis Collman III reportedly told his 8-year-old son that there was no food in their house in Crothersville, Indiana, and went back to sleep."
The Russian navy was considering buying one or two submersible rescue vessels.,"Defense Minister Sergei Ivanov decided to buy two remote-controlled, deep-diving Scorpio underwater vehicles for the Russian navy, Pacific Fleet Commander Admiral Viktor Fyodorov told the Itar-Tass news agency Tuesday.","Defense Minister Sergei Ivanov decided to buy two remote-controlled, deep-diving Scorpio underwater rescue vessels for the Russian navy, Pacific Fleet Commander Admiral Viktor Fyodorov told the Itar-Tass news agency Tuesday."
The council voted unanimously Monday to impose a 2.25 percent tax on the city's highest earners.,"The measure applies a 2.25 percent tax on total income above $250,000 for individuals and above $500,000 for married couples filing their taxes together.","The council voted unanimously Monday on a measure which applies a 2.25 percent tax on the city's highest earners, with total income above $250,000 for individuals and above $500,000 for married couples filing their taxes together."
Staunton Police Chief Jim Williams announced 61-year-old Sharron Diane Crawford Smith was arrested around 10:24 a.m. Friday and charged with two counts of first degree murder.,"This morning, 41 years later, Staunton police have arrested and charged Sharron Diane Crawford Smith, age 61, with two counts of first-degree murder.","41 years later, Staunton Police Chief Jim Williams announced 61-year-old Sharron Diane Crawford Smith was arrested around 10:24 a.m. Friday and charged with two counts of first degree murder."
"On November 3, a second tremor lasted 25 minutes.  ","Next day, a tremor lasting twenty-five minutes prompted scientists to warn of a more serious eruption but the nearest residents thirty miles from the crater were not evacuated.  ","Next day, on November 3, a second tremor lasting twenty-five minutes prompted scientists to warn of a more serious eruption but the nearest residents thirty miles from the crater were not evacuated."
In August 2005 the government ordered all officials with coalmine investments to withdraw their stakes.,"836 officials and state-owned enterprise (SOE) leaders have abandoned their coal mine investments in north China's Shanxi province, a major coal producing region, amid a nationwide crackdown on illegal coal mine investment by officials.","836 officials and state-owned enterprise (SOE) leaders have abandoned their coal mine investments in north China's Shanxi province, a major coal producing region, amid a nationwide crackdown on illegal coal mine investment by government officials in August 2005."
The beautiful party girl Tara Reid is taking the time this season and checking herself into rehab.,"Although the rep wouldn't reveal why she entered rehab, a source from the magazine said that it was her decision to get help.","Although the rep wouldn't reveal why the beautiful party girl Tara Reid entered rehab this season, a source from the magazine said that it was her decision to get help."
"After the hearing, the city capped her sewer, a move she calls ""pure evil.""","And today, the city capped off her sewer for unpaid bills.","After the hearing, the city today capped off her sewer for unpaid bills, a move she calls ""pure evil."""
"In December, after the bodies of the couple were discovered, investigators thought Sherman had murdered his wife, and then killed himself, as stated by a police source.","The source stated private investigators believe Barry, 75, and Honey, 70, were killed two days before the bodies were discovered.","In December, after the bodies of the couple, Barry, 75, and Honey, 70, were discovered, private investigators thought Sherman had murdered his wife, and then killed himself, two days before, as stated by a police source."
He has pleaded innocent to all charges.,"Kaczynski intends to plead innocent at trial, and prosecutors are unsure if they will seek the death penalty.","Kaczynski intends to plead innocent to all charges at trial, and prosecutors are unsure if they will seek the death penalty."
